id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Kira;Robel;Stephany.Ziemann@yahoo.com;comparison;2024-03-10T12:00:58;11111;22596
2;Brook;Smith;Trevor_Corwin@gmail.com;outrigger;2024-03-09T19:55:44;25743;21348
3;Retha;Hansen;Rebeka47@yahoo.com;over times;2024-03-10T07:21:33;27461;624
4;Donny;Doyle;Cooper_Thiel@yahoo.com;but;2024-03-10T01:42:45;30799;12225
5;Jarvis;Padberg;Charles_Nitzsche@gmail.com;trillion considering;2024-03-10T04:43:01;27695;20257
6;Isai;Gutmann;Mustafa.Harber@yahoo.com;blah miserably meh;2024-03-09T23:29:22;29336;15396
7;Darrell;Swift;Breana_Terry@yahoo.com;phew wrathful until;2024-03-10T04:53:16;21957;16323
8;Nicolette;Howe;Noemi.Becker36@yahoo.com;class;2024-03-10T06:45:53;5113;14545
9;Aleen;Quitzon;Clarabelle.Conroy78@yahoo.com;inasmuch fooey;2024-03-10T11:15:35;26462;29975
10;Alek;Boyer;Daron_Schuppe@gmail.com;ouch;2024-03-10T04:51:14;25069;11810
